uid,image,was_refined,gcrf_iterations,draft_ppv,final_ppv,draft_npv,final_npv,draft_sensitivity,final_sensitivity,draft_specificity,final_specificity,draft_f1_clinical,final_f1_clinical,draft_chair_i,final_chair_i,draft_chair_s,final_chair_s,draft_truthful_rate,final_truthful_rate,draft_halluc_rate,final_halluc_rate,draft_fabrication,final_fabrication,draft_danger_phrases,final_danger_phrases,draft_contradiction_count,final_contradiction_count,draft_monotone_score,final_monotone_score,draft_is_monotone,final_is_monotone,draft_report_length_words,final_report_length_words,draft_cx_f1,final_cx_f1,draft_cx_hallucination_pct,final_cx_hallucination_pct,final_cx_n_hallucinated,final_cx_n_missed,final_cx_hallucinated_conditions,final_cx_missed_conditions,draft_hallucination_score,hallucination_score,delta_hallucination_score,hallucination_class,final_monotone_score.1,final_npv_h,final_ppv_h,final_sensitivity_h,final_specificity_h,final_chair_i_h,final_chair_s_h,final_truthful_rate_h,final_monotone_score_h,final_is_monotone_h,new_score,new_class,old_score,version
108,108_IM-0056-1001.dcm.png,False,1,0.5,0.5,0.8182,0.8182,0.5,0.5,0.8182,0.8182,0.5,0.5,0.5,0.5,0.25,0.25,0.75,0.75,0.25,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,0.0,0.0,0,3,,Lung Opacity; Pleural Effusion; No Finding,26.25,26.25,0.0,Low,0.2222,0.8182,0.5,0.5,0.8182,0.5,0.25,0.75,0.2222,0,25.4,Low,26.25,v2+GCRF
114,114_IM-0096-1001.dcm.png,True,2,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.8182,1.0,0.8,0.0,0.3333,0.0,0.4,1.0,0.6,0.0,0.4,0,1,1,0,0,0,0.2222,0.3333,0,1,28,31,0.6667,0.5714,33.33,50.0,2,1,Consolidation; Pneumothorax,Pleural Effusion,5.0,33.17,28.17,Moderate,0.3333,1.0,0.6667,1.0,0.8182,0.3333,0.4,0.6,0.3333,1,31.49,Moderate,33.17,v2+GCRF
116,116_IM-0107-1001.dcm.png,False,1,0.0,0.0,0.9091,0.9091,0.0,0.0,0.7143,0.7143,0.0,0.0,1.0,1.0,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,0.0,0.0,0,1,,No Finding,49.0,49.0,0.0,Moderate,0.2222,0.9091,0.0,0.0,0.7143,1.0,0.4,0.6,0.2222,0,41.07,Moderate,49.0,v2+GCRF
129,129_IM-0189-1001.dcm.png,False,1,0.5,0.5,0.8182,0.8182,0.5,0.5,0.8182,0.8182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.3333,0.3333,0.0,0.0,0,4,,Lung Opacity; Pleural Effusion; Support Devices; No Finding,35.0,35.0,0.0,Moderate,0.2222,0.8182,0.5,0.5,0.8182,0.5,0.5,0.5,0.2222,0,32.4,Moderate,35.0,v2+GCRF
141,141_IM-0260-1001.dcm.png,False,1,0.5,0.5,0.7273,0.7273,0.4,0.4,0.8,0.8,0.4444,0.4444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.4,0.4,0.0,0.0,0,3,,Lung Opacity; Pleural Effusion; No Finding,35.0,35.0,0.0,Moderate,0.2222,0.7273,0.5,0.4,0.8,0.5,0.5,0.5,0.2222,0,33.91,Moderate,35.0,v2+GCRF
145,145_IM-0290-1001.dcm.png,False,1,0.0,0.0,0.9167,0.9167,0.0,0.0,0.7857,0.7857,0.0,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.75,0.75,1,1,0,0,0,0,0.1111,0.1111,0,0,16,16,0.0,0.0,0.0,0.0,0,1,,Lung Opacity,61.25,61.25,0.0,High,0.1111,0.9167,0.0,0.0,0.7857,1.0,0.75,0.25,0.1111,0,49.07,Moderate,61.25,v2+GCRF
154,154_IM-0350-1001.dcm.png,True,2,0.6,0.75,1.0,1.0,1.0,1.0,0.8333,0.9167,0.75,0.8571,0.4,0.25,0.5,0.25,0.5,0.75,0.5,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,20,26,0.4,0.8,50.0,0.0,0,1,,Support Devices,39.0,17.5,-21.5,Low,0.2222,1.0,0.75,1.0,0.9167,0.25,0.25,0.75,0.2222,0,15.89,Low,17.5,v2+GCRF
169,169_IM-0452-1001.dcm.png,True,2,0.0,0.0,0.9,0.9167,0.0,0.0,0.6429,0.7857,0.0,0.0,1.0,1.0,0.75,0.25,0.25,0.75,0.75,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,20,26,0.0,0.0,0.0,0.0,0,1,,No Finding,61.25,43.75,-17.5,Moderate,0.2222,0.9167,0.0,0.0,0.7857,1.0,0.25,0.75,0.2222,0,36.19,Moderate,43.75,v2+GCRF
179,179_IM-0514-1001.dcm.png,False,1,0.5,0.5,0.7273,0.7273,0.4,0.4,0.8,0.8,0.4444,0.4444,0.5,0.5,0.25,0.25,0.75,0.75,0.25,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,0.0,0.0,0,3,,Lung Lesion; Pleural Effusion; No Finding,26.25,26.25,0.0,Low,0.2222,0.7273,0.5,0.4,0.8,0.5,0.25,0.75,0.2222,0,26.91,Low,26.25,v2+GCRF
184,184_IM-0544-1001.dcm.png,False,1,0.4,0.4,0.8,0.8,0.5,0.5,0.7273,0.7273,0.4444,0.4444,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,3,Pneumothorax,Lung Lesion; Pleural Effusion; No Finding,46.0,46.0,0.0,Moderate,0.2222,0.8,0.4,0.5,0.7273,0.6,0.5,0.5,0.2222,0,43.3,Moderate,46.0,v2+GCRF
191,191_IM-0591-1001.dcm.png,False,1,1.0,1.0,0.9091,0.9091,0.8,0.8,1.0,1.0,0.8889,0.8889,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.2222,0.2222,0,0,18,18,0.6667,0.6667,0.0,0.0,0,1,,No Finding,0.0,0.0,0.0,Hallucination-Free,0.2222,0.9091,1.0,0.8,1.0,0.0,0.0,1.0,0.2222,0,3.59,Hallucination-Free,0.0,v2+GCRF
195,195_IM-0618-1002.dcm.png,True,2,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.1111,0,0,20,30,0.0,0.6667,50.0,25.0,1,0,Pneumothorax,,39.0,35.25,-3.75,Moderate,0.1111,1.0,0.6,1.0,0.8333,0.4,0.5,0.5,0.1111,0,29.79,Low,35.25,v2+GCRF
196,196_IM-0626-1001.dcm.png,True,2,0.0,0.0,1.0,1.0,0.0,0.0,0.6667,0.7333,0.0,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.75,0.75,1,1,0,0,0,0,0.2222,0.2222,0,0,20,26,0.0,0.0,0.0,0.0,0,0,0,0,61.25,61.25,0.0,High,0.2222,1.0,0.0,0.0,0.7333,1.0,0.75,0.25,0.2222,0,49.36,Moderate,61.25,v2+GCRF
197,197_IM-0631-1001.dcm.png,False,1,0.5,0.5,0.8182,0.8182,0.5,0.5,0.8182,0.8182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,100.0,100.0,1,4,Pneumothorax,Lung Opacity; Pleural Effusion; Support Devices; No Finding,50.0,50.0,0.0,High,0.2222,0.8182,0.5,0.5,0.8182,0.5,0.5,0.5,0.2222,0,47.4,Moderate,50.0,v2+GCRF
200,200_IM-0653-1001.dcm.png,False,1,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.5,0.5,0.0,0.0,0,2,,Lung Opacity; No Finding,14.0,14.0,0.0,Hallucination-Free,0.2222,0.9,0.8,0.8,0.9,0.2,0.2,0.8,0.2222,0,14.92,Hallucination-Free,14.0,v2+GCRF
206,206_IM-0697-6001.dcm.png,False,1,0.4,0.4,0.8,0.8,0.5,0.5,0.7273,0.7273,0.4444,0.4444,0.6,0.6,0.75,0.75,0.25,0.25,0.75,0.75,1,1,0,0,0,0,0.3333,0.3333,1,1,22,22,0.0,0.0,0.0,0.0,0,3,,Lung Opacity; Lung Lesion; Support Devices,47.25,47.25,0.0,Moderate,0.3333,0.8,0.4,0.5,0.7273,0.6,0.75,0.25,0.3333,1,43.91,Moderate,47.25,v2+GCRF
225,225_IM-0844-1001.dcm.png,True,2,0.6,0.6667,0.9,0.8333,0.75,0.5,0.8182,0.9091,0.6667,0.5714,0.4,0.3333,0.4,0.25,0.6,0.75,0.4,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,28,26,0.0,0.0,100.0,100.0,1,3,Pneumothorax,Pleural Effusion; Support Devices; No Finding,43.0,35.42,-7.58,Moderate,0.2222,0.8333,0.6667,0.5,0.9091,0.3333,0.25,0.75,0.2222,0,35.45,Moderate,35.42,v2+GCRF
226,226_IM-0851-1001.dcm.png,False,1,0.0,0.0,1.0,1.0,0.0,0.0,0.6667,0.6667,0.0,0.0,1.0,1.0,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,0.0,0.0,0,0,,,56.0,56.0,0.0,High,0.2222,1.0,0.0,0.0,0.6667,1.0,0.6,0.4,0.2222,0,45.69,Moderate,56.0,v2+GCRF
234,234_IM-0906-0001-0001.dcm.png,True,2,0.6,0.8,0.9,1.0,0.75,1.0,0.8182,0.9091,0.6667,0.8889,0.4,0.2,0.5,0.25,0.5,0.75,0.5,0.25,1,1,0,0,0,0,0.2222,0.1111,0,0,20,30,0.3333,0.75,50.0,25.0,1,1,Pneumothorax,Support Devices,39.0,19.5,-19.5,Low,0.1111,1.0,0.8,1.0,0.9091,0.2,0.25,0.75,0.1111,0,17.39,Low,19.5,v2+GCRF
237,237_IM-0930-2001.dcm.png,False,1,0.5,0.5,0.8889,0.8889,0.75,0.75,0.7273,0.7273,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.3333,0.3333,1,1,39,39,0.5,0.5,0.0,0.0,0,2,,Pleural Effusion; Support Devices,35.0,35.0,0.0,Moderate,0.3333,0.8889,0.5,0.75,0.7273,0.5,0.5,0.5,0.3333,1,33.18,Moderate,35.0,v2+GCRF
254,254_IM-1051-1001.dcm.png,False,1,0.0,0.0,1.0,1.0,0.0,0.0,0.7333,0.7333,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,0.0,0.0,0,0,,,52.5,52.5,0.0,High,0.2222,1.0,0.0,0.0,0.7333,1.0,0.5,0.5,0.2222,0,42.36,Moderate,52.5,v2+GCRF
260,260_IM-1090-1001.dcm.png,False,1,0.4,0.4,0.9,0.9,0.6667,0.6667,0.75,0.75,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,3,Pneumothorax,Pleural Effusion; Support Devices; No Finding,46.0,46.0,0.0,Moderate,0.2222,0.9,0.4,0.6667,0.75,0.6,0.5,0.5,0.2222,0,41.62,Moderate,46.0,v2+GCRF
278,278_IM-1218-1001.dcm.png,False,1,0.6,0.6,0.9,0.9,0.75,0.75,0.8182,0.8182,0.6667,0.6667,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,50.0,50.0,1,3,Pneumothorax,Lung Opacity; Pleural Effusion; Support Devices,35.5,35.5,0.0,Moderate,0.2222,0.9,0.6,0.75,0.8182,0.4,0.4,0.6,0.2222,0,33.48,Moderate,35.5,v2+GCRF
301,301_IM-1389-1001.dcm.png,False,1,0.5,0.5,1.0,1.0,1.0,1.0,0.8462,0.8462,0.6667,0.6667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,100.0,100.0,1,1,Pneumothorax,Pleural Effusion,50.0,50.0,0.0,High,0.2222,1.0,0.5,1.0,0.8462,0.5,0.5,0.5,0.2222,0,44.45,Moderate,50.0,v2+GCRF
306,306_IM-1426-1001.dcm.png,False,1,0.5,0.5,1.0,1.0,1.0,1.0,0.8462,0.8462,0.6667,0.6667,0.5,0.5,0.25,0.25,0.75,0.75,0.25,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,100.0,100.0,1,0,Pneumothorax,,41.25,41.25,0.0,Moderate,0.2222,1.0,0.5,1.0,0.8462,0.5,0.25,0.75,0.2222,0,37.45,Moderate,41.25,v2+GCRF
319,319_IM-1505-1001.dcm.png,True,2,0.8,1.0,1.0,0.9167,1.0,0.75,0.9091,1.0,0.8889,0.8571,0.2,0.0,0.25,0.0,0.75,1.0,0.25,0.0,1,0,0,0,0,0,0.2222,0.2222,0,0,20,26,0.0,0.0,50.0,100.0,1,0,Pneumothorax,,23.25,15.0,-8.25,Low,0.2222,0.9167,1.0,0.75,1.0,0.0,0.0,1.0,0.2222,0,18.47,Low,15.0,v2+GCRF
323,323_IM-1526-1001.dcm.png,False,1,0.4,0.4,0.8,0.8,0.5,0.5,0.7273,0.7273,0.4444,0.4444,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,30,30,0.0,0.0,50.0,50.0,1,3,Pneumothorax,Pleural Effusion; Support Devices; No Finding,49.5,49.5,0.0,Moderate,0.2222,0.8,0.4,0.5,0.7273,0.6,0.6,0.4,0.2222,0,46.1,Moderate,49.5,v2+GCRF
329,329_IM-1571-1004003.dcm.png,True,2,0.0,0.0,1.0,1.0,0.0,0.0,0.6667,0.7333,0.0,0.0,1.0,1.0,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,28,33,0.0,0.0,0.0,0.0,0,0,0,0,56.0,56.0,0.0,High,0.2222,1.0,0.0,0.0,0.7333,1.0,0.6,0.4,0.2222,0,45.16,Moderate,56.0,v2+GCRF
330,330_IM-1577-0001-0002.dcm.png,False,1,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.3333,0.3333,50.0,50.0,1,3,Consolidation,Lung Opacity; Pleural Effusion; No Finding,35.5,35.5,0.0,Moderate,0.2222,0.8,0.6,0.6,0.8,0.4,0.4,0.6,0.2222,0,35.12,Moderate,35.5,v2+GCRF
335,335_IM-1606-1001.dcm.png,False,1,0.6,0.6,0.9,0.9,0.75,0.75,0.8182,0.8182,0.6667,0.6667,0.4,0.4,0.2857,0.2857,0.7143,0.7143,0.2857,0.2857,1,1,0,0,0,0,0.3333,0.3333,1,1,42,42,0.4,0.4,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,31.5,31.5,0.0,Moderate,0.3333,0.9,0.6,0.75,0.8182,0.4,0.2857,0.7143,0.3333,1,31.39,Moderate,31.5,v2+GCRF
337,337_IM-1622-1001.dcm.png,False,1,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.8,0.8,0.2,0.2,0.8,0.8,1,1,0,0,0,0,0.3333,0.3333,1,1,27,27,0.0,0.0,0.0,0.0,0,0,,,63.0,63.0,0.0,High,0.3333,1.0,0.0,0.0,0.6,1.0,0.8,0.2,0.3333,1,52.93,High,63.0,v2+GCRF
340,340_IM-1644-4004.dcm.png,False,1,0.25,0.25,0.8182,0.8182,0.3333,0.3333,0.75,0.75,0.2857,0.2857,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,20,20,0.0,0.0,0.0,0.0,0,4,,Edema; Consolidation; Pleural Effusion; Support Devices,43.75,43.75,0.0,Moderate,0.2222,0.8182,0.25,0.3333,0.75,0.75,0.5,0.5,0.2222,0,38.95,Moderate,43.75,v2+GCRF
347,347_IM-1686-1001.dcm.png,False,1,0.4,0.4,0.9,0.9,0.6667,0.6667,0.75,0.75,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,32,32,0.5,0.5,0.0,0.0,0,2,,Pleural Effusion; No Finding,38.5,38.5,0.0,Moderate,0.2222,0.9,0.4,0.6667,0.75,0.6,0.5,0.5,0.2222,0,34.12,Moderate,38.5,v2+GCRF
348,348_IM-1690-1001.dcm.png,False,1,0.5,0.5,1.0,1.0,1.0,1.0,0.8462,0.8462,0.6667,0.6667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,1.0,1.0,0.0,0.0,0,0,,,35.0,35.0,0.0,Moderate,0.2222,1.0,0.5,1.0,0.8462,0.5,0.5,0.5,0.2222,0,29.45,Low,35.0,v2+GCRF
351,351_IM-1712-1001.dcm.png,False,1,0.0,0.0,0.9091,0.9091,0.0,0.0,0.7143,0.7143,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,0.0,0.0,0,1,,No Finding,52.5,52.5,0.0,High,0.2222,0.9091,0.0,0.0,0.7143,1.0,0.5,0.5,0.2222,0,43.87,Moderate,52.5,v2+GCRF
355,355_IM-1739-1001.dcm.png,False,1,0.125,0.125,1.0,1.0,1.0,1.0,0.5,0.5,0.2222,0.2222,0.875,0.875,0.8,0.8,0.2,0.2,0.8,0.8,1,1,0,0,0,0,0.2222,0.2222,0,0,44,44,1.0,1.0,0.0,0.0,0,0,,,58.63,58.63,0.0,High,0.2222,1.0,0.125,1.0,0.5,0.875,0.8,0.2,0.2222,0,49.62,Moderate,58.63,v2+GCRF
356,356_IM-1744-1001.dcm.png,False,1,0.5,0.5,0.8182,0.8182,0.5,0.5,0.8182,0.8182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.3333,0.3333,0.0,0.0,0,4,,Lung Opacity; Pleural Effusion; Support Devices; No Finding,35.0,35.0,0.0,Moderate,0.2222,0.8182,0.5,0.5,0.8182,0.5,0.5,0.5,0.2222,0,32.4,Moderate,35.0,v2+GCRF
364,364_IM-1804-1001.dcm.png,True,2,0.6,0.6667,0.9,0.8333,0.75,0.5,0.8182,0.9091,0.6667,0.5714,0.4,0.3333,0.5,0.25,0.5,0.75,0.5,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,20,26,0.4,0.4,0.0,0.0,0,3,,Pleural Effusion; Support Devices; No Finding,31.5,20.42,-11.08,Low,0.2222,0.8333,0.6667,0.5,0.9091,0.3333,0.25,0.75,0.2222,0,20.45,Low,20.42,v2+GCRF
